Category,Headline,Link
thiruvananthapuram,"മടങ്ങാം പ്രകൃതിയിലേക്ക്’ പദ്ധതിയുമായി ഡിവൈഎഫ്ഐ
Thursday May 14, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-14-05-2020/871316
thiruvananthapuram,"പാഴാക്കി കളയണ്ട; കരുതലിനായി നൽകാം
Thursday May 14, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-14-05-2020/871314
thiruvananthapuram,"മഴയിൽ വീടിന്റെ മതിൽ തകർന്നു
Thursday May 14, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-14-05-2020/871313
thiruvananthapuram,"ആറ്റിങ്ങലിൽ മോണിറ്ററിങ്‌ സമിതി
Thursday May 14, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-14-05-2020/871312
thiruvananthapuram,"20 കോൺഗ്രസുകാർക്കെതിരെ കേസ്‌
Thursday May 14, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-14-05-2020/871311
thiruvananthapuram,"പുന്നയിക്കുന്നം ഏലായിൽ കൃഷിയിറക്കും
Thursday May 14, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-14-05-2020/871309
thiruvananthapuram,"സുഭിക്ഷകേരളത്തിനായി നാടൊരുമിച്ച്‌
Thursday May 14, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-14-05-2020/871306
thiruvananthapuram,"മാതൃദിനത്തിൽ ഷീലയ്‌ക്കിത്‌ ‘സ്വപ്‌നസാഫല്യം’
Wednesday May 13, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-13-05-2020/871153
thiruvananthapuram,"പൊലീസിന്റെ ""മാസ്‌കിഫൈഡ്‌’ കാലൻ
Wednesday May 13, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-13-05-2020/871151
thiruvananthapuram,"331 പേർകൂടി നിരീക്ഷണത്തിൽ
Wednesday May 13, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-13-05-2020/871150
thiruvananthapuram,"സിഐടിയു അവകാശ ദിനാചരണം നാളെ
Wednesday May 13, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-13-05-2020/871149
thiruvananthapuram,"ട്രെയിൻ യാത്രക്കാരെ സ്വീകരിക്കാൻ ജില്ല സജ്ജം
Wednesday May 13, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-13-05-2020/871147
thiruvananthapuram,"ബഹുനില തുണിക്കട ഭാഗികമായി തുറക്കാൻ അനുവദിക്കണം
Wednesday May 13, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-13-05-2020/871146
thiruvananthapuram,"പൊലീസുകാരെ ആക്രമിച്ച അതിഥിത്തൊഴിലാളികൾ അറസ്റ്റിൽ
Wednesday May 13, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-13-05-2020/871145
thiruvananthapuram,"സമാന്തര പരിപാടികളുമായി ഡിസിസി പ്രസിഡന്റിന്റെ എതിർപക്ഷം
Wednesday May 13, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-13-05-2020/871143
thiruvananthapuram,"ആശ്വാസ പദ്ധതികളുമായി ഫാർമേഴ്‌സ്‌ ബാങ്ക്‌
Wednesday May 13, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-13-05-2020/871142
thiruvananthapuram,"മത്സ്യകൃഷിക്കും കിഴങ്ങ്‌ കൃഷിക്കും മുൻഗണന
Wednesday May 13, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-13-05-2020/871141
thiruvananthapuram,"പ്രവാസികളെ സ്വീകരിക്കാൻ വർക്കലയൊരുങ്ങി
Wednesday May 13, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-13-05-2020/871140
thiruvananthapuram,"തരിശിൽനിന്ന്‌ ഒരുകൂട പച്ചക്കറി
Wednesday May 13, 2020",https://www.deshabhimani.com/news/kerala/news-thiruvananthapuramkerala-13-05-2020/871137
